SI NO,TAG NO,WEIGHT OF THE BALE (kg),SIZE OF THE BALE,TEMP (degreeC),MOISTURE CONTENT (%),BULK DENSITY (g/cc)
1,33898,150,M,34,8.6,0.48
2,33909,100,S,24,7.6,0.42
3,554750,130,M,32,12.1,0.38
4,33901,120,S,22,10,0.39
5,33920,180,L,32,12.4,0.48
6,767501,180,L,31,6.9,0.42
7,33904,170,L,30,12.4,0.38
8,33902,150,M,20,12.1,0.36
9,554749,120,S,29,7.8,0.36
10,33907,130,M,43,8.8,0.45
11,22122,120,S,30,9.4,0.45
12,455653,130,M,38,13.4,0.44
13,33910,120,S,36,12.2,0.36
14,13422,120,S,34,8.9,0.42
15,33912,100,S,37,12.1,0.38
16,554748,80,S,35,9.6,0.39
17,13421,120,S,32,8.6,0.48
18,12334,130,M,23,8.4,0.39
19,554751,170,L,22,12.5,0.44
20,33917,170,L,21,12,0.36
21,88796,180,L,25,8.8,0.45
22,33919,80,S,27,8.8,0.44
23,66654,80,S,28,7.8,0.36
24,99088,150,M,28,12.1,0.42
25,78767,150,M,32,7.8,0.38
26,455655,130,M,33,12.1,0.39
27,55644,120,S,35,7.8,0.48
28,32456,100,S,26,8.8,0.39
29,33899,100,S,35,8.6,0.44
30,65654,80,S,34,8.8,0.39
31,66057,150,M,42,8.6,0.39
32,33911,150,M,36,12.1,0.42
33,767875,170,L,37,7.8,0.38
34,997778,180,L,23,12.1,0.39
35,33900,130,M,33,10,0.48
36,175567,120,S,37,8.8,0.42
37,455654,80,S,37,7.8,0.38
38,3335254,170,L,38,12.1,0.36
39,89987,180,L,39,10,0.36
40,18797,80,S,45,8.6,0.45
41,33906,120,S,43,8.8,0.45
42,33902,130,M,33,9.4,0.44
43,455656,150,M,41,10,0.36
44,33914,100,S,31,7.8,0.36
45,455657,80,S,27,10,0.45
46,33908,80,S,29,8.8,0.44
47,767487,130,M,34,7.8,0.36
48,40508,170,L,36,8.8,0.42
49,767489,100,S,38,8.6,0.38
50,50868,150,M,39,9.4,0.39
51,758474,80,S,43,13.4,0.48
52,132254,100,S,32,8.8,0.39
53,767493,170,L,33,13.4,0.44
54,897867,130,M,35,12.1,0.36
55,767502,150,M,25,13.4,0.42
56,554565,130,M,36,9.4,0.39
57,665676,170,L,36,7.8,0.48
58,767498,80,S,36,13.4,0.38
59,209089,100,S,33,12.1,0.45
60,767500,170,L,25,13.4,0.44
61,908789,150,M,26,8.6,0.48
62,989987,80,S,27,10,0.42
63,767503,150,M,21,9.4,0.38
64,33918,170,L,22,7.8,0.39
65,807097,170,L,37,12.1,0.48
66,607089,100,S,24,13.4,0.42
67,203893,150,M,28,9.4,0.38
68,767495,170,L,26,12.1,0.36
69,33913,100,S,42,7.8,0.36
70,767488,100,S,38,9.4,0.45
71,45766,180,L,37,10,0.45
72,657743,180,L,29,8.6,0.44
73,443522,100,S,27,12.1,0.36
74,445211,130,M,28,7.8,0.42
75,11332,100,S,22,8.6,0.39
76,45322,170,L,41,12.1,0.42
77,505049,100,S,41,10,0.38
78,438967,180,L,25,8.6,0.45
79,767491,150,M,36,8.8,0.45
80,667343,100,S,38,12.1,0.44
81,86674,130,M,34,9.4,0.39
82,33915,130,M,32,12.1,0.42
83,767490,100,S,42,8.8,0.38
84,767496,80,S,48,13.4,0.45
85,33903,180,L,42,13.4,0.45
86,38824,170,L,31,10,0.44
87,124388,80,S,30,13.4,0.39
88,767495,180,L,34,9.4,0.36
89,689540,130,M,43,12.1,0.44
90,28467,80,S,40,13.4,0.39
91,33905,170,L,41,12.1,0.39
92,767499,130,M,38,9.4,0.36
93,35245,100,S,37,12.1,0.44
94,767492,130,M,30,8.8,0.45
95,33916,80,S,42,9.4,0.44
96,3334457,180,L,43,10,0.36
97,770807,180,L,30,8.6,0.42
98,97608,100,S,24,8.8,0.38
99,670896,170,L,41,12.1,0.39
100,767494,180,L,34,12.1,0.48
101,492349,130,M,42,8.6,0.42
102,3429390,80,S,38,9.4,0.36
103,445332,130,M,30,12.1,0.48
104,959022,130,M,42,9.4,0.39
105,212143,180,L,38,8.6,0.48
106,238894,80,S,30,9.4,0.36
107,3402032,130,M,42,12.1,0.42
108,1090902,180,L,30,9.4,0.39
109,1029109,130,M,38,8.6,0.42
110,1212331,80,S,42,12.1,0.39
,,130,M,38,8.6,
